Functional group,TL,Biomass,P/B,Q/B,EE,P/Q,Removals,
Transient killer whales,4.83,0.0001,0.03,11.16,0.00,0.002,0,
Toothed whales,4.63,0.0349,0.07,17.42,0.03,0.004,3.19E-05,
Gray whales,3.52,0.0327,0.06,8.87,0.04,0.007,0,
Baleen whales,3.75,0.5079,0.03,6.67,0.09,0.004,1.93E-05,
Pinnipeds,4.41,0.0157,0.09,20.78,0.08,0.004,6.93E-05,
Walrus and bearded seals,3.56,0.1142,0.05,15.37,0.01,0.003,3.69E-05,
Northern fur seal juvenile,4.59,0.0009,0.25,83.33,0.02,0.003,0,
Northern fur seal adult,4.59,0.0326,0.09,39.03,0.04,0.002,3.70E-05,
Ice seals,4.55,0.0303,0.07,19.20,0.87,0.004,3.19E-05,
Other birds,4.52,0.0007,0.12,73.19,0.07,0.002,2.54E-06,
Murres and puffins,4.42,0.0086,0.16,72.06,0.05,0.002,3.35E-05,
Kittiwakes,4.40,0.0007,0.08,110.00,0.11,0.001,2.57E-06,
Auklets,3.58,0.0018,0.17,110.00,0.05,0.002,6.81E-06,
Fulmars,4.60,0.0005,0.06,73.00,0.15,0.001,2.02E-06,
Albatross,4.61,0.0001,0.07,75.00,0.13,0.001,3.88E-07,
Sharks,4.64,0.0532,0.10,3.00,0.16,0.033,0.0007,
Walleye pollock juvenile,3.54,4.5669,1.45,8.50,0.81,0.171,0,
Walleye pollock adult,3.68,18.4862,0.67,3.17,0.84,0.210,2.5091,
Pacific cod juvenile,3.55,0.1868,1.78,8.88,0.79,0.201,0,
Pacific cod adult,4.06,2.4650,0.41,2.28,0.51,0.181,0.4224,
Herring,3.52,0.7827,0.48,4.45,0.68,0.108,0.0292,
Arrowtooth flounder juvenile,3.80,0.0084,0.81,5.79,0.59,0.140,0,
Arrowtooth flounder adult,4.31,0.9443,0.18,1.16,0.85,0.155,0.0361,
Kamchatka flounder,4.45,0.0564,0.18,1.19,0.18,0.154,0,
Greenland turbot juvenile,3.54,0.0075,1.70,7.91,0.99,0.215,0,
Greenland turbot adult,4.59,0.3493,0.18,1.16,0.55,0.155,0.0090,
Pacific halibut juvenile,3.52,0.0019,2.40,9.33,0.80,0.257,0,
Pacific halibut adult,4.54,0.2219,0.19,1.10,0.69,0.173,0.0195,
Yellowfin sole,3.56,5.2580,0.18,0.98,0.42,0.183,0.2361,
Flathead sole,3.75,1.3412,0.27,2.21,0.30,0.124,0.0286,
Northern rock sole,3.66,3.3830,0.23,1.25,0.45,0.188,0.1125,
Alaska plaice,3.53,1.0684,0.20,2.00,0.53,0.100,0.0302,
Other flatfish,3.68,0.2625,0.20,2.00,0.75,0.100,0.0079,
Skates,4.18,0.7734,0.20,2.00,0.20,0.100,0.0283,
Sablefish,4.28,0.0353,0.42,1.24,0.68,0.335,0.0028,
Eelpouts,3.70,2.3715,0.40,2.00,0.80,0.200,0,
Deep demersal fish,4.11,0.9762,0.15,2.00,0.27,0.075,0.0043,
Pacific Ocean perch,3.54,0.1666,0.10,2.00,0.84,0.050,0.0103,
Other rockfish,3.71,0.0179,0.11,1.61,0.63,0.070,0.0010,
Northern rockfish,3.58,0.0279,0.10,2.00,0.80,0.050,0.0018,
Shortraker rockfish,3.86,0.0095,0.10,2.00,0.45,0.050,0.0002,
Rougheye rockfish,4.25,0.0037,0.10,2.00,0.61,0.050,0.0002,
Atka mackerel,3.53,0.1440,0.75,7.29,0.25,0.103,0.0051,
Shallow demersal fish,3.63,2.3056,0.40,2.00,0.80,0.200,4.71E-05,
Large sculpins,3.96,0.5403,0.40,2.00,0.10,0.200,0.0100,
Octopi,3.75,0.1925,0.80,3.65,0.80,0.219,0.0003,
Squids,3.70,0.9270,3.20,10.67,0.80,0.300,0.0013,
Salmon returning,3.82,0.1638,1.65,11.60,0.97,0.142,0.1698,
Salmon smolts,3.55,0.0142,1.28,13.56,0.80,0.094,0,
Myctophids and Bathylagids,3.52,0.9879,0.80,3.65,0.80,0.219,4.33E-07,
Capelin,3.52,1.2447,0.80,3.65,0.80,0.219,1.28E-08,
Sandlance,3.52,2.5277,0.80,3.65,0.80,0.219,4.48E-08,
Other forage fish,3.52,2.1017,0.80,3.65,0.80,0.219,1.18E-04,
Tanner crab (C. bairdi ),3.43,0.5219,1.60,3.09,0.71,0.518,0.0494,
King crabs,3.51,0.2384,0.66,3.21,0.61,0.205,0.0196,
Snow crab (C. opilio),3.31,2.1788,1.30,3.12,0.51,0.415,0.3075,
Pandalid shrimp,2.91,6.7425,0.58,2.41,0.80,0.239,2.21E-06,
Benthic zooplankton,2.52,35.8847,4.90,23.86,0.80,0.206,0,
Motile epifauna,2.82,9.8800,1.09,5.45,0.58,0.200,0.0073,
Structural epifauna,2.53,0.7813,2.14,10.69,0.17,0.200,0.0026,
Infauna,2.52,87.2299,1.75,8.77,0.31,0.200,1.35E-07,
Jellyfish,2.60,1.1118,4.08,11.80,0.79,0.346,0.0186,
Pelagic zooplankton,2.69,2.6433,3.57,10.19,0.81,0.350,0,
Euphausiids,2.53,17.8310,5.48,15.64,0.80,0.350,0,
Copepods,2.50,26.8574,6.00,27.74,0.80,0.216,0,
Pelagic microbes,2,45.0000,36.50,104.29,0.26,0.350,0,
Benthic microbes,2,22.0610,36.50,104.29,0.80,0.350,0,
Large phytoplankton,1,9.1005,49.43,,0.79,,0,
Small phytoplankton,1,39.5039,110.92,,0.80,,0,
